,visual acuity,side,year,age,gender,n
305,"[0.0, 0.15)",right,2015,"[25.0, 30.0)",female,4345
306,"[0.0, 0.15)",right,2015,"[30.0, 35.0)",male,3399
307,"[0.0, 0.15)",right,2015,"[30.0, 35.0)",female,3771
308,"[0.0, 0.15)",right,2015,"[35.0, 40.0)",male,2907
309,"[0.0, 0.15)",right,2015,"[35.0, 40.0)",female,2327
310,"[0.0, 0.15)",right,2015,"[40.0, 45.0)",male,4060
311,"[0.0, 0.15)",right,2015,"[40.0, 45.0)",female,5735
312,"[0.0, 0.15)",right,2015,"[45.0, 50.0)",male,4229
313,"[0.0, 0.15)",right,2015,"[45.0, 50.0)",female,5880
314,"[0.0, 0.15)",right,2015,"[50.0, 55.0)",male,5229
315,"[0.0, 0.15)",right,2015,"[50.0, 55.0)",female,8325
316,"[0.0, 0.15)",right,2015,"[55.0, 60.0)",male,4814
317,"[0.0, 0.15)",right,2015,"[55.0, 60.0)",female,7586
318,"[0.0, 0.15)",right,2015,"[60.0, 65.0)",male,5521
319,"[0.0, 0.15)",right,2015,"[60.0, 65.0)",female,9942
320,"[0.0, 0.15)",right,2015,"[65.0, 70.0)",male,5453
321,"[0.0, 0.15)",right,2015,"[65.0, 70.0)",female,8506
322,"[0.0, 0.15)",right,2015,"[70.0, 75.0)",male,7624
323,"[0.0, 0.15)",right,2015,"[70.0, 75.0)",female,12284
324,"[0.0, 0.15)",right,2015,"[75.0, 80.0)",male,5337
325,"[0.0, 0.15)",right,2015,"[75.0, 80.0)",female,9033
326,"[0.0, 0.15)",right,2015,"[80.0, 85.0)",male,4213
327,"[0.0, 0.15)",right,2015,"[80.0, 85.0)",female,8207
328,"[0.0, 0.15)",right,2015,"[85.0, inf)",male,1620
329,"[0.0, 0.15)",right,2015,"[85.0, inf)",female,5110
330,"[0.0, 0.15)",right,2014,"[0.0, 20.0)",male,175
331,"[0.0, 0.15)",right,2014,"[0.0, 20.0)",female,240
332,"[0.0, 0.15)",right,2014,"[20.0, 25.0)",male,825
333,"[0.0, 0.15)",right,2014,"[20.0, 25.0)",female,2261
334,"[0.0, 0.15)",right,2014,"[25.0, 30.0)",male,2372
335,"[0.0, 0.15)",right,2014,"[25.0, 30.0)",female,4235
336,"[0.0, 0.15)",right,2014,"[30.0, 35.0)",male,3376
337,"[0.0, 0.15)",right,2014,"[30.0, 35.0)",female,3383
338,"[0.0, 0.15)",right,2014,"[35.0, 40.0)",male,2734
339,"[0.0, 0.15)",right,2014,"[35.0, 40.0)",female,2086
340,"[0.0, 0.15)",right,2014,"[40.0, 45.0)",male,2948
341,"[0.0, 0.15)",right,2014,"[40.0, 45.0)",female,3886
342,"[0.0, 0.15)",right,2014,"[45.0, 50.0)",male,4048
343,"[0.0, 0.15)",right,2014,"[45.0, 50.0)",female,5322
344,"[0.0, 0.15)",right,2014,"[50.0, 55.0)",male,5120
345,"[0.0, 0.15)",right,2014,"[50.0, 55.0)",female,8523
346,"[0.0, 0.15)",right,2014,"[55.0, 60.0)",male,4763
347,"[0.0, 0.15)",right,2014,"[55.0, 60.0)",female,7139
348,"[0.0, 0.15)",right,2014,"[60.0, 65.0)",male,5363
349,"[0.0, 0.15)",right,2014,"[60.0, 65.0)",female,9772
350,"[0.0, 0.15)",right,2014,"[65.0, 70.0)",male,2783
351,"[0.0, 0.15)",right,2014,"[65.0, 70.0)",female,4142
352,"[0.0, 0.15)",right,2014,"[70.0, 75.0)",male,7739
353,"[0.0, 0.15)",right,2014,"[70.0, 75.0)",female,13103
354,"[0.0, 0.15)",right,2014,"[75.0, 80.0)",male,4896
355,"[0.0, 0.15)",right,2014,"[75.0, 80.0)",female,8709
356,"[0.0, 0.15)",right,2014,"[80.0, 85.0)",male,3759
357,"[0.0, 0.15)",right,2014,"[80.0, 85.0)",female,7906
358,"[0.0, 0.15)",right,2014,"[85.0, inf)",male,1482
359,"[0.0, 0.15)",right,2014,"[85.0, inf)",female,4816
